image,tag,left bottom,right top
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,Persoon 4,"(385.5933609958506, 0)","(1231.1369294605809, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,Persoon 1,"(2.12448132780083, 266.62240663900417)","(305.9253112033195, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,Persoon 4,"(369.6597510373444, 0)","(610.7883817427386, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_60.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_60.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_60.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_60.jpg,Persoon 4,"(258.1244813278008, 2.12448132780083)","(667.0871369294606, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_60.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_60.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 8,"(428.08298755186723, 421.7095435684647)","(844.4813278008298, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 4,"(531.1203319502074, 185.8921161825726)","(827.4854771784233, 433.3941908713693)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 5,"(66.92116182572614, 295.3029045643153)","(298.4896265560166, 1018.688796680498)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 2,"(781.8091286307053, 402.58921161825725)","(946.4564315352698, 695.7676348547718)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 1,"(838.1078838174274, 282.5560165975104)","(970.8879668049792, 399.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 7,"(395.1535269709544, 146.58921161825725)","(532.1825726141079, 617.161825726141)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 9,"(232.63070539419087, 167.83402489626556)","(431.26970954356847, 965.5767634854772)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10065.jpg,Persoon 6,"(2.12448132780083, 41.427385892116185)","(241.1286307053942, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_105.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_105.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_105.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_105.jpg,Persoon 4,"(369.6597510373444, 0)","(610.7883817427386, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_105.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_105.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 4,"(542.804979253112, 164.64730290456433)","(817.9253112033196, 473.7593360995851)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 1,"(816.8630705394191, 282.5560165975104)","(930.5228215767635, 525.8091286307053)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 7,"(405.7759336099585, 130.65560165975103)","(528.9958506224067, 530.0580912863071)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 8,"(353.72614107883817, 466.32365145228215)","(837.045643153527, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 2,"(627.7842323651453, 289.99170124481327)","(773.311203319502, 465.26141078838174)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 5,"(0, 318.6721991701245)","(332.4813278008299, 1017.6265560165975)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10035.jpg,Persoon 9,"(257.0622406639004, 163.5850622406639)","(428.08298755186723, 968.7634854771784)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_90.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_90.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_90.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_90.jpg,Persoon 4,"(310.17427385892114, 2.12448132780083)","(629.9087136929461, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_90.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_90.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_45.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_45.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_45.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_45.jpg,Persoon 4,"(363.2863070539419, 0)","(786.0580912863071, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_45.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_45.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 8,"(553.4273858921161, 413.2116182572614)","(848.7302904564316, 944.3319502074689)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 2,"(936.896265560166, 400.46473029045643)","(1056.929460580913, 539.6182572614108)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 4,"(551.3029045643153, 222.00829875518673)","(834.9211618257261, 472.6970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 7,"(389.84232365145226, 146.58921161825725)","(550.2406639004149, 619.2863070539419)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 9,"(250.68879668049792, 169.95850622406638)","(433.3941908713693, 655.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 5,"(0, 281.49377593361)","(278.3070539419087, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10170.jpg,Persoon 1,"(823.2365145228216, 272.99585062240664)","(995.3195020746888, 469.5103734439834)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_75.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_75.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_75.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_75.jpg,Persoon 4,"(227.31950207468878, 2.12448132780083)","(616.0995850622406, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_75.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_75.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 8,"(553.4273858921161, 413.2116182572614)","(848.7302904564316, 944.3319502074689)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 2,"(829.6099585062241, 401.52697095435684)","(1015.5020746887967, 706.3900414937759)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 4,"(551.3029045643153, 222.00829875518673)","(834.9211618257261, 472.6970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 7,"(389.84232365145226, 146.58921161825725)","(550.2406639004149, 619.2863070539419)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 9,"(250.68879668049792, 169.95850622406638)","(433.3941908713693, 655.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 5,"(0, 281.49377593361)","(278.3070539419087, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10125.jpg,Persoon 1,"(823.2365145228216, 272.99585062240664)","(995.3195020746888, 469.5103734439834)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 6,"(0, 24.431535269709542)","(159.33609958506224, 1022.9377593360996)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 8,"(431.26970954356847, 421.7095435684647)","(847.6680497925311, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 4,"(531.1203319502074, 185.8921161825726)","(827.4854771784233, 433.3941908713693)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 7,"(389.84232365145226, 137.02904564315352)","(527.9336099585063, 616.0995850622406)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 1,"(821.1120331950208, 260.24896265560164)","(976.1991701244814, 489.6929460580913)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 2,"(673.4605809128631, 313.36099585062243)","(792.4315352697096, 431.26970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10050.jpg,Persoon 5,"(66.92116182572614, 295.3029045643153)","(298.4896265560166, 1018.688796680498)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 6,"(165.70954356846474, 625.6597510373444)","(849.792531120332, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 8,"(553.4273858921161, 413.2116182572614)","(848.7302904564316, 944.3319502074689)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 2,"(829.6099585062241, 401.52697095435684)","(1015.5020746887967, 706.3900414937759)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 4,"(551.3029045643153, 222.00829875518673)","(834.9211618257261, 472.6970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 7,"(389.84232365145226, 146.58921161825725)","(550.2406639004149, 619.2863070539419)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 9,"(250.68879668049792, 169.95850622406638)","(433.3941908713693, 655.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 5,"(9.560165975103734, 281.49377593361)","(287.86721991701245, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10095.jpg,Persoon 1,"(823.2365145228216, 272.99585062240664)","(995.3195020746888, 469.5103734439834)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_30.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_30.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_30.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_30.jpg,Persoon 4,"(397.2780082987552, 0)","(1037.8091286307053, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_30.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_30.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10080.jpg,Persoon 8,"(541.7427385892116, 416.39834024896265)","(846.6058091286307, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10080.jpg,Persoon 4,"(557.6763485477178, 176.33195020746888)","(827.4854771784233, 433.3941908713693)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10080.jpg,Persoon 1,"(875.2863070539419, 256)","(965.5767634854772, 384.5311203319502)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10080.jpg,Persoon 2,"(791.3692946058092, 373.90871369294604)","(918.838174273859, 571.4854771784233)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10080.jpg,Persoon 6,"(22.307053941908713, 50.98755186721992)","(461.0124481327801, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10080.jpg,Persoon 7,"(410.0248962655602, 148.7136929460581)","(528.9958506224067, 543.8672199170124)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 4,"(509.8755186721992, 69.04564315352697)","(746.7551867219917, 803.0539419087137)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 1,"(816.8630705394191, 282.5560165975104)","(930.5228215767635, 525.8091286307053)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 7,"(405.7759336099585, 130.65560165975103)","(528.9958506224067, 530.0580912863071)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 8,"(353.72614107883817, 466.32365145228215)","(837.045643153527, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 2,"(627.7842323651453, 289.99170124481327)","(773.311203319502, 465.26141078838174)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 5,"(0, 318.6721991701245)","(332.4813278008299, 1017.6265560165975)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10005.jpg,Persoon 9,"(257.0622406639004, 163.5850622406639)","(428.08298755186723, 968.7634854771784)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 7,"(413.2116182572614, 129.59336099585062)","(536.4315352697096, 528.9958506224067)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 8,"(527.9336099585063, 394.09128630705396)","(848.7302904564316, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 6,"(812.6141078838174, 390.9045643153527)","(1042.058091286307, 740.3817427385892)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 4,"(806.2406639004149, 621.4107883817427)","(1144.033195020747, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 1,"(0, 226.25726141078837)","(141.2780082987552, 842.356846473029)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 2,"(175.26970954356847, 175.26970954356847)","(385.5933609958506, 973.01244813278)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_1005.jpg,Persoon 3,"(314.42323651452284, 92.4149377593361)","(393.02904564315355, 192.2655601659751)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 8,"(553.4273858921161, 413.2116182572614)","(848.7302904564316, 944.3319502074689)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 2,"(829.6099585062241, 401.52697095435684)","(1015.5020746887967, 706.3900414937759)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 4,"(551.3029045643153, 222.00829875518673)","(834.9211618257261, 472.6970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 7,"(389.84232365145226, 146.58921161825725)","(550.2406639004149, 619.2863070539419)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 9,"(250.68879668049792, 169.95850622406638)","(433.3941908713693, 655.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 5,"(3.186721991701245, 281.49377593361)","(281.49377593361, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10110.jpg,Persoon 1,"(823.2365145228216, 272.99585062240664)","(995.3195020746888, 469.5103734439834)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 4,"(551.3029045643153, 125.34439834024896)","(806.2406639004149, 480.13278008298755)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 1,"(816.8630705394191, 282.5560165975104)","(930.5228215767635, 525.8091286307053)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 7,"(405.7759336099585, 130.65560165975103)","(528.9958506224067, 530.0580912863071)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 8,"(353.72614107883817, 466.32365145228215)","(837.045643153527, 1021.8755186721992)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 2,"(627.7842323651453, 289.99170124481327)","(773.311203319502, 465.26141078838174)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 5,"(0, 318.6721991701245)","(332.4813278008299, 1017.6265560165975)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10020.jpg,Persoon 9,"(257.0622406639004, 163.5850622406639)","(428.08298755186723, 968.7634854771784)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 8,"(553.4273858921161, 413.2116182572614)","(848.7302904564316, 944.3319502074689)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 2,"(951.7676348547718, 406.8381742738589)","(1062.240663900415, 550.2406639004149)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 4,"(551.3029045643153, 222.00829875518673)","(834.9211618257261, 472.6970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 7,"(389.84232365145226, 146.58921161825725)","(550.2406639004149, 619.2863070539419)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 9,"(250.68879668049792, 169.95850622406638)","(433.3941908713693, 655.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 5,"(0, 281.49377593361)","(278.3070539419087, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10140.jpg,Persoon 1,"(878.4730290456431, 239.00414937759336)","(964.5145228215767, 369.6597510373444)"
