full_image,image_snippet,person_id,iou
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,Persoon 6,0.074303023684679
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,Persoon 6,0.1318222989559447
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,Persoon 6,0.101027585045913
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,Persoon 7,0.1606167598678366
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,Persoon 7,0.2395182858981933
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 7,0.0978037737336822
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,Persoon 7,0.3116579125479536
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,Persoon 1,0.0001084423245932
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,Persoon 1,0.3928111838948433
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,Persoon 1,0.1506442390212798
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,Persoon 2,0.0870788407099042
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,Persoon 3,0.2153326609300757
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,Persoon 3,0.032648503720496
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,Persoon 3,0.0535604624883063
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,Persoon 4,0.0264441078738752
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,Persoon 4,0.1179342695373407
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,Persoon 4,0.0424933651110955
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,Persoon 4,0.3648455579926622
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,Persoon 5,0.0005811122757447
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,Persoon 5,0.0211614214583889
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,Persoon 5,0.0102080674543888
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,Persoon 6,0.1013626539838394
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,Persoon 6,0.0972639630128246
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,Persoon 6,0.0780827615809392
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,Persoon 8,0.2139736660225865
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,Persoon 8,0.188692748765203
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,Persoon 2,0.0223053897640327
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,Persoon 2,0.0184939297912436
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,Persoon 4,0.1132726037004704
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,Persoon 4,0.0176711118294036
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,Persoon 7,0.2050268814662671
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,Persoon 7,0.0036531815841267
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,Persoon 9,0.2042367434305019
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,Persoon 9,0.0430444231028077
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,Persoon 5,0.6840604820761318
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_0.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_10155_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_0.JPG,Persoon 1,0.0001966350816673
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_2.JPG,Persoon 1,0.4450233189562922
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_5.JPG,Persoon 1,0.1432371148647244
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_5.JPG,Persoon 2,0.0721450334327291
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_0.JPG,Persoon 3,0.2139746418069605
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_2.JPG,Persoon 3,0.0387234670802623
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_5.JPG,Persoon 3,0.0893979333546646
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_0.JPG,Persoon 4,0.065630485888475
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_1.JPG,Persoon 4,0.1968467156048455
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_2.JPG,Persoon 4,0.0306811207310262
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_3.JPG,Persoon 4,0.6557344956481942
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_4.JPG,Persoon 4,0.1553676160608645
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_1.JPG,Persoon 5,0.0019837476950309
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_3.JPG,Persoon 5,0.0099269107592415
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_4.JPG,Persoon 5,0.019720295437291
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_1.JPG,Persoon 6,0.1021449228208094
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_3.JPG,Persoon 6,0.075932159491742
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_4.JPG,Persoon 6,0.1297905479196456
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_15_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_0.JPG,Persoon 1,0.149512973154358
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_2.JPG,Persoon 1,0.0014694081425128
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_3.JPG,Persoon 1,0.4454393954382857
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_4.JPG,Persoon 1,0.0095812164062884
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_0.JPG,Persoon 2,0.0796928052136701
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_4.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_0.JPG,Persoon 3,0.0729404227691808
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_2.JPG,Persoon 3,0.2320413351353807
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_3.JPG,Persoon 3,0.0379891628433867
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_4.JPG,Persoon 3,0.0529399367656863
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_1.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_2.JPG,Persoon 4,0.1882108238684646
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_3.JPG,Persoon 4,0.0904056227981042
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_4.JPG,Persoon 4,0.3846532072289638
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_5.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_1.JPG,Persoon 5,0.0021493132278927
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_4.JPG,Persoon 5,0.0118307844925118
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_5.JPG,Persoon 5,0.019372525835122
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_0.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_1.JPG,Persoon 6,0.1051629187284808
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_2.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_3.JPG,,0.0
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_4.JPG,Persoon 6,0.0804172900217711
vlc-record-2019-02-15-10h16m13s-rtsp___80_120.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_120_5.JPG,Persoon 6,0.1277485271792985
